datetime_day,ADFS\BASIN_LEVEL\PROCESS_VALUE,ADFS\EFFLUENT_TSS\PROCESS_VALUE,ADFS\INFLUENT_FLOW\PROCESS_VALUE,ADFS\WASTE_FLOW\PROCESS_VALUE,ADFS\WASTE_VACUUM\PROCESS_VALUE,ADFS\CURRENT_MODE,SEPARATOR\WASTE_FLOW\PROCESS_VALUE,SEPARATOR\TANK_LEVEL\PROCESS_VALUE,SEPARATOR\CURRENT_MODE,ADFS\INFLUENT_VALVE\POSITION_FB\PROCESS_VALUE,SEPARATOR\SR_CURRENT_MODE,SEPARATOR\INFLUENT_FLOW\PROCESS_VALUE,SEPARATOR\INFLUENT_TANK_LEVEL\PROCESS_VALUE,ADFS\WASTE_PUMP_1\SPEED_OUT,ADFS\SCUM_REMOVAL_MODE,ADFS\BASIN_PH\PROCESS_VALUE,ADFS\INFLUENT_FLOW\TOTAL_FOREVER,ADFS\WASTE_TSS\PROCESS_VALUE,SEPARATOR\INFLUENT_FLOW\TOTAL_FOREVER,SEPARATOR\WASTE_FLOW\TOTAL_FOREVER,ADFS\INFLUENT_FLOW\PID\OUTPUT,ADFS\INFLUENT_TSS\PROCESS_VALUE,ADFS\INFLUENT_TURBIDITY\PROCESS_VALUE,ADFS\EFFLUENT_TURBIDITY\PROCESS_VALUE,ADFS\INHIBIT_WASTE_FLOW
2019-09-12,9.301851986092496,51.76727676,351.2354469270169,26.184124923464804,3.2359969621064573,2.2632344386271086,0,0,0,24.23448788615532,0,0,0,7.331413612565445,1.0097731239092496,6.114045003371146,137.23501145685225,150,0,0,21.23605034680279,-0.29785544,122.57668838459104,44.61719166029436,0
2019-09-13,9.338980815193718,51.76727676,349.9161460544741,20.546707406094242,2.375791321663176,2.1573589296102385,0,0,0,23.70478134033217,0,0,0,5.4138452588714365,1.0173938336242,6.293213618566608,137.32065850543864,150,0,0,20.710704204333915,-0.29785544,126.73874468226876,45.56023879605235,0
2019-09-14,9.355216140627654,51.76727676,350.0898259271584,21.153938795120123,2.3368802294910127,2.1569425862369846,0,0,0,23.934829646534816,0,0,0,5.239718457332325,1.0168111220987726,6.038705332561224,137.39205433006458,150,0,0,20.8710665508836,-0.29785544,140.4206663239637,49.56503863351463,0
2019-09-15,9.363964598721424,51.76727676,360.16489224327904,22.42338062870339,2.4398069885893783,2.1672386713978242,0,0,0,24.952322265141063,0,0,0,5.642952707812227,1.0130300738758653,6.167016768437555,137.50527417435228,150,0,0,21.746600258892443,-0.29785544,138.44326855011343,49.534151718157176,0
2019-09-16,9.319790754794393,51.76727676,353.9670724819485,20.865964380425755,1.9665568685563892,2.1793171639620774,0,0,0,24.147711325583085,0,0,0,4.885185831443029,1.0063397894491943,5.994624666592218,137.68088782482928,150,0,0,21.157593508273134,-0.29785544,134.81202631856047,48.452493898697725,0
2019-09-17,9.332876402947711,51.76727676,348.77219883313734,24.209761957948004,2.2331701710172744,2.2399232245681384,0,0,0,24.08102059738091,0,0,0,5.550980050020357,1.006630605478974,5.928953337326819,137.76452007996508,150,0,0,20.926354077171524,-0.29785544,143.58068705901414,46.62976813422846,0
2019-09-18,9.359535417526462,51.76727676,353.75408570547575,25.680474210918927,2.5687282488007446,2.24880772362452,0,0,0,24.328893298601837,0,0,0,5.96696522042573,1.011457485169245,5.990851513098756,137.89685996459406,150,0,0,21.152233629455043,-0.29785544,146.7749237978318,45.65998400221996,0
2019-09-19,9.336848314576281,51.76727676,341.19068596562323,26.64549979941197,2.5983810895916943,2.2776711452335254,0,0,0,23.7413766041767,0,0,0,6.123713139068226,1.0091316233350782,5.768608841617519,137.9696416818304,150,0,0,20.627738323175713,-0.29785544,146.8904459024917,46.443046459548654,0
2019-09-20,9.356036147079214,51.76727676,334.03658424966676,27.373027242227522,2.7794393578102827,2.2942305455391416,0,0,0,23.595414461858788,0,0,0,6.414272420611842,1.0144817959753403,5.841163733880423,138.00617029162325,150,0,0,20.61658749200419,-0.29785544,146.47776248121497,47.96901200733744,0
2019-09-21,9.418470075280911,51.76727676,341.62831241037514,25.865584935481564,2.7116537296836105,2.1940793299988366,0,0,0,24.342713421661625,0,0,0,6.385425148307549,1.010643247644527,5.831737494113063,138.02991221404037,150,0,0,21.207281904502732,-0.29785544,149.7351513191055,50.17627191061882,0
